mpls,AN PHU,10.252.252.14,10.254.252.14
mpls,AU CO ,10.183.254.26,10.183.255.26
mpls,TRUONG CHINH,10.183.254.38,10.183.255.38
mpls,NGUYEN THI THAP,10.252.252.54,10.254.252.54
mpls,PHU THANH,10.183.254.46,10.183.255.46
mpls,THAO DIEN,10.252.252.70,10.254.252.70
mpls,AN LAC,10.183.254.54,10.183.255.54
mpls,DONG NAI,10.252.252.102,10.254.252.102
mpls,TAN HIEP,10.183.254.70,10.183.255.70
mpls,BINH DUONG,10.183.254.74,10.183.255.74
mpls,DI AN,10.183.254.78,10.183.255.78
mpls,CAN THO,10.252.252.134,10.254.252.134
mpls,MT THO,10.252.254.102,10.254.254.102
mpls,TRA VINH,10.183.254.90,10.183.255.90
mpls,DA LAT,10.183.254.122,10.183.255.122
mpls,NHA TRANG,10.183.254.130,10.183.255.130
mpls,QUI NHON,10.183.254.134,10.183.255.134
mpls,VINH,10.183.254.138,10.183.255.138
mpls,HUE,10.183.254.142,10.183.255.142
mpls,DA NANG,10.183.254.146,10.183.255.146
mpls,QUANG NGAI,10.183.254.150,10.183.255.150
mpls,THANG LONG,10.183.254.170,10.183.255.170
mpls,GARDEN,10.183.254.174,10.183.255.174
mpls,ME LING,10.183.254.178,10.183.255.178
mpls,LONG BIEN,10.183.254.182,10.183.255.182
mpls,LE TRONG TAN,10.183.254.186,10.183.255.186
mpls,HA DONG,10.183.254.190,10.183.255.190
mpls,NGUYEN XIEN,10.183.254.194,10.183.255.194
mpls,BAC GIANG,10.183.254.202,10.183.255.202
mpls,HA LONG,10.183.254.206,10.183.255.206
mpls,HAI DUONG,10.183.254.210,10.183.255.210
mpls,HAI PHONG,10.183.254.214,10.183.255.214
mpls,NAM DINH,10.183.254.218,10.183.255.218
mpls,NINH BINH,10.183.254.222,10.183.255.222
mpls,THANH HOA,10.183.254.226,10.183.255.226
mpls,VIET TRI,10.183.254.230,10.183.255.230
mpls,VINH PHUC,10.183.254.234,10.183.255.234
mpls,BEN TRE,10.183.254.102,10.183.255.102
mpls,THAI NGUYEN,10.183.252.6,10.183.253.6
mpls,KHO TTL,10.183.254.246,10.183.254.246
mpls,KHO NewLand,10.183.254.58,10.183.254.58
mpls,GO VAP,10.252.252.30,10.252.252.30
mpls,MIEN DONG,10.183.254.34,10.183.254.30
